MES;FECHA;LÍNEAS DE TRABAJO - COMPONENTE;VERIFICACIÓN;ACCIONES;NOMBRE INSTITUCION/EMPRESA/EVENTO;PUBLICO OBJETIVO;TIPO EMPRESA/INSTITUCION/EVENTO;DIRECCION;COD_COMUNA;COMUNA;BARRIO;TOTAL PERSONAS SENSIBILIZADAS;TOTAL MUJER;TOTAL HOMBRE;MUJER NIÑO (6 a 13 años);MUJER JOVEN (14 a 28 años);MUJER ADULTO (29 a 59 años);MUJER PERSONA MAYOR (60  años y más);MUJER PEATÓN;MUJER MOTOCICLISTA;MUJER CONDUCTOR;MUJER ACOMPAÑANTE Y/O PASAJERO;HOMBRE_JOVEN_(14_A_28_ANOS);HOMBRE ADULTO (29 A 59 ANOS);HOMBRE_PERSONA_MAYOR_(60_ANOS_Y_MÁS);HOMBRE_PEATON;HOMBRE_CICLISTA;HOMBRE_MOTOCICLISTA;HOMBRE_CONDUCTOR;HOMBRE_ACOMPANANTE_ Y/O_ PASAJERO;No. DE PROFESIONALES VINCULADOS;No. DE AUXILIARES VINCULADOS;No. DE PROFESIONALES CONTRATISTAS;No. DE AUXILIARES CONTRATISTAS;NO. HORAS LABORADAS EN ACTIVIDAD
Marzo;2019-03-21T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Institucion Educativa Santa Juana de Lestonac;Docentes y/o Instructores;Instituciones Educativas Oficiales;Cr 76 103 C 43;6;Doce_de_Octubre;Pedregal;2;2;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Marzo;2019-03-22T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Punto_Seguro_Vehiculos;Secretaría de Movilidad - Cultas;Motociclistas;Intervención en Vía;Cr 50 2 SUR 1;15;Guayabal;Cristo Rey;388;118;270;0;38;80;0;0;0;95;11;12;175;95;0;0;0;235;15;20;0;0;1;5
Marzo;2019-03-23T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Punto_Seguro_Peatones;Secretaría de Movilidad;Peatones;Intervención en Vía;Cr 80 80 1;7;Robledo;El Diamante;169;87;82;1;22;58;6;85;85;0;2;0;17;65;0;75;0;0;7;0;0;0;1;4
Marzo;2019-03-26T05:00:00.000Z;Curso_de_Amonestados;Curso;Taller_Formativo_Curso_de_Amonestados;Secretaría de Movilidad;Infractores;Secretaría de Movilidad;Cr 64 C 72 58;5;Castilla;Caribe;28;6;22;0;2;4;0;0;0;3;3;0;4;16;2;0;0;10;12;0;0;1;0;0
Marzo;2019-03-27T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;"\"Reunión con \"\"CC La Central\"\" y Metro de Medellín \"";Actores Viales en General;Centros Comerciales;Cl 49 21 38;9;Buenos_Aires;Alejandro Echavarría;2;1;1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0
Marzo;2019-03-27T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Intervenciones_en_10_Sitios_de_Mayor_Incidentalidad;Secretaría de Movilidad;Peatones;Sitio Mayor Incidentalidad;Cl 10 48 1;14;Poblado;Manila;664;353;311;1;122;187;43;353;353;0;0;0;155;112;42;311;0;0;0;0;0;0;2;6
Marzo;2019-03-28T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Mesa de Movilidad;Actores Viales en General;Centros Comerciales;Cl 49 21 38;9;Buenos_Aires;Alejandro Echavarría;5;2;3;0;0;2;0;1;1;0;1;0;1;2;0;1;0;0;2;0;0;0;1;0
Marzo;2019-03-28T05:00:00.000Z;Contacto_Ciudadano_Priorización_de_Publicos_y_Lugares;Contacto_Priorizacion;Socializacion_Proyectos_Movilidad_Conglomerado_Publico_Externo;Reunión JAC  - Sede Social Los Alcázares;Juntas de Acciòn Comunal;Entidades Gubernamentales;Cr 89 A 48 E 1;13;San_Javier;Los Alcázares;4;1;3;0;1;0;0;1;1;0;0;0;0;3;0;3;0;0;0;0;0;0;1;0
Marzo;2019-03-29T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Otros_Incidencia_y_Gestion;Secretaría de Gobierno;Actores Viales en General;Actividades Comunitarias;Cl 57 C 23 200;8;Villa_Hermosa;Los Mangos;358;196;162;180;3;11;2;196;196;0;0;0;9;11;2;162;0;0;0;0;0;0;1;3
Marzo;2019-03-31T05:00:00.000Z;Incidencia_y_Gestion_Ejecucion_de_Experiencias;Incidencia;Otros_Incidencia_y_Gestion;Secretaría de Gobierno;Actores Viales en General;Actividades Comunitarias;Cr 23 A 56 HE 1;8;Villa_Hermosa;Trece de Noviembre;43;22;21;11;3;7;1;22;22;0;0;0;2;6;0;21;0;0;0;0;0;0;1;3
